1,0.50000,0.10000,0.10000,0.10000,0.10000,0.10000,
,6.88474,1.62642,8.47275,1.28290,0.80632,7.76416,
,7.07016,2.75663,6.56901,8.33832,2.91018,2.56792,
,6.63600,8.36568,6.35746,9.22335,9.00595,2.76460,
2,0.50000,0.10000,0.10000,0.10000,0.10000,0.10000,
,5.74567,7.66770,5.12833,9.40362,4.04652,0.11209,
,4.89531,2.96771,2.87369,6.98234,5.32695,6.26869,
,2.08791,6.51136,7.83029,4.03887,9.96199,5.77136,
,2.09069,3.99224,0.96201,4.70860,3.79113,8.85306,
,0.70276,3.95780,5.72261,3.52182,2.22210,3.40148,
3,0.20000,0.20000,0.20000,0.10000,0.10000,0.10000,0.10000
,2.12942,6.52428,9.41303,2.99233,9.57890,7.21966,1.49811
,2.78273,7.37736,9.73498,9.32913,7.86263,0.68379,7.88628
,3.59307,2.15624,7.29557,2.60562,9.41902,7.63977,0.97329
4,0.50000,0.10000,0.10000,0.10000,0.10000,0.10000,
,5.84197,5.80341,1.43327,9.32570,7.62730,8.39142,
,3.12327,0.25934,0.79859,5.22899,7.13621,3.32335,
,8.40798,6.69105,2.46249,8.79338,9.64346,7.66672,
,9.50778,7.87429,6.54639,5.46617,4.90726,3.85371,
,4.22831,8.00157,9.36914,8.09473,5.54620,2.61512,
,2.51166,7.03010,5.80537,7.02221,3.03793,2.98162,
,2.40226,8.05465,2.79688,0.63875,6.90237,9.91901,
,2.80831,9.57016,2.19735,4.93918,8.47264,0.94942,
,7.72413,8.63410,6.39720,5.49863,3.83137,3.76923,
,4.43910,1.01294,4.17675,7.19715,9.97466,9.05159,
5,0.20000,0.20000,0.20000,0.20000,0.20000,,
,9.74164,7.38444,0.94303,4.71185,0.06518,,
,2.53268,2.48111,3.81907,4.28539,3.12717,,
,8.12207,8.77025,1.26877,5.04241,2.31136,,
,9.27557,8.92568,0.71754,2.89054,5.26451,,
6,0.20000,0.20000,0.20000,0.20000,0.20000,,
,6.24885,9.48048,3.36200,1.61186,2.64184,,
,1.58290,1.94043,0.95348,2.41808,7.85412,,
,3.45137,1.87711,8.52625,8.93599,8.36467,,
7,0.20000,0.20000,0.20000,0.10000,0.10000,0.10000,0.10000
,6.90157,9.45811,1.01456,6.45950,2.54552,2.41196,9.55641
,0.53769,1.64591,2.89170,8.99117,8.45928,9.31139,5.28659
,1.68938,8.87297,5.88455,1.85020,7.87999,2.67586,8.86279
8,0.50000,0.10000,0.10000,0.10000,0.10000,0.10000,
,2.44189,9.56642,4.30420,3.21964,5.99226,5.80997,
,4.82707,1.13599,3.58373,9.14602,5.64356,3.54021,
,7.19710,8.78393,2.06596,9.54623,9.91578,7.60893,
,8.52116,9.50366,8.33728,9.45550,8.74633,0.29754,
9,0.20000,0.20000,0.20000,0.20000,0.20000,,
,5.17221,7.46675,3.07989,4.88010,8.81325,,
,8.49947,3.24802,5.30203,4.89936,0.52745,,
,3.52469,5.48804,5.28486,6.42886,3.00714,,
,3.25196,9.51026,9.96369,7.18901,5.88936,,
,0.29440,6.23377,5.30523,2.29147,2.74184,,
10,0.20000,0.20000,0.20000,0.20000,0.20000,,
,9.01996,9.10123,0.92158,3.07805,9.65774,,
,7.40797,2.76362,9.02993,9.22429,4.26598,,
,5.95611,6.65590,9.92500,4.95452,9.92543,,
11,0.50000,0.10000,0.10000,0.10000,0.10000,0.10000,
,5.67383,7.94271,4.91303,5.00517,6.39340,1.28871,
,0.59061,7.32728,8.70378,5.65488,6.15919,1.88386,
,3.51108,1.42915,5.37221,2.86185,7.44945,3.89759,
12,0.20000,0.20000,0.20000,0.20000,0.20000,,
,1.68450,6.53562,6.96025,9.74967,3.64139,,
,4.53430,6.49646,2.80739,8.24838,0.58557,,
,2.84027,0.44996,3.60965,7.09173,6.87988,,
,0.44872,2.60133,5.91776,0.61014,3.71124,,
13,0.20000,0.20000,0.20000,0.10000,0.10000,0.10000,0.10000
,0.74576,3.42510,9.31455,1.24190,4.71997,5.30911,6.47302
,5.79261,0.71375,5.26764,1.52055,6.81915,4.28804,3.11757
,4.31978,6.68650,7.41031,7.87111,5.40574,7.79628,8.22393
,2.87593,5.96948,2.13813,8.11331,9.06332,0.88183,1.32059
,7.22937,4.80325,9.06083,5.50429,5.46839,6.82101,8.46858
14,0.50000,0.10000,0.10000,0.10000,0.10000,0.10000,
,4.40602,4.35414,5.78565,4.41415,0.15934,8.50653,
,3.56938,2.71333,8.24928,9.57651,6.32794,4.52643,
,9.44172,8.09517,1.47690,2.26330,1.27522,7.34971,
,5.54262,9.85922,7.93275,1.80503,4.75667,7.08213,
,6.22908,2.14684,8.74640,9.28461,5.07321,7.41442,
15,0.20000,0.20000,0.20000,0.10000,0.10000,0.10000,0.10000
,9.31438,8.47623,0.51669,7.11232,4.76840,9.30277,3.63559
,8.25621,5.75520,8.49026,5.86149,3.91899,7.64950,6.27670
,1.81551,4.69339,6.74067,7.31944,6.57323,0.91681,9.34082
